Periodo;Contrib. Seguridad Social (351);Contrib. Obra Social (352);ART (312);SCVO (028);Total Cargas Sociales;Rem 1 (base aportes);Alicuota s/Rem1
2025-01;1.062.909,28;506.291,89;153.806,40;1.407,12;1.724.414,69;5.450.203,80;31,6%
2025-02;1.094.983,81;543.966,49;161.824,07;1.583,01;1.802.357,38;5.593.792,30;32,2%
2025-03;1.135.299,64;542.394,31;175.625,48;3.012,12;1.856.331,55;5.847.280,62;31,7%
2025-04;1.116.606,21;517.354,94;171.838,85;2.677,44;1.808.477,44;5.740.939,65;31,5%
2025-05;1.115.212,42;517.354,98;172.035,50;2.677,44;1.807.280,34;5.733.078,46;31,5%
2025-06;350.845,30;796.429,23;277.081,51;2.677,44;1.427.033,48;9.710.075,36;14,7%
2025-07;243.226,96;538.455,33;191.922,72;2.677,44;976.282,45;6.515.687,42;15,0%
2025-08;275.841,15;601.532,54;210.113,17;3.012,12;1.090.498,98;7.103.289,31;15,4%
2025-09;280.766,71;610.971,42;225.729,83;3.012,12;1.120.480,08;7.167.239,50;15,6%
2025-10;286.285,33;623.626,97;216.469,42;3.012,12;1.129.393,84;7.322.091,26;15,4%
2025-11;291.365,97;632.388,11;220.988,88;3.012,12;1.147.755,08;7.452.165,43;15,4%
2025-12;446.925,82;961.870,87;330.648,42;3.012,12;1.742.457,23;11.397.795,79;15,3%
2026-01;303.576,65;650.496,84;230.469,40;3.012,12;1.187.555,01;7.767.883,07;15,3%
2026-02;309.976,30;655.981,96;228.425,87;3.012,12;1.197.396,25;7.683.297,09;15,6%
2026-03;319.623,69;678.660,18;242.391,12;3.821,58;1.244.496,57;8.068.372,35;15,4%
2026-04;339.496,69;758.135,10;257.750,33;3.821,58;1.359.203,70;8.645.917,83;15,7%
2026-05;346.055,21;755.555,19;256.053,88;3.821,58;1.361.485,86;8.567.976,73;15,9%
TOTAL;9.318.997,14;10.891.466,35;3.723.174,85;49.261,59;23.982.899,93;;
